year,details,image
2273,"ปรากฏชื่อ ""บางคล้า"" ในแผนที่โลก (indiasiam) ",1.png
2310,"การกอบกู้เอกราชของพระเจ้าตากสินมหาราช
 บริเวณปากแม่น้ำโจ้โล้ ปัจจุบันคือ ตำบลปากน้ำ อำเภอบางคล้า จังหวัดฉะเชิงเทรา เป็นจุดที่พระยาวชิรปราการพักทัพ และสู้รบกับพม่าจนได้ชัยชนะ",2.png
2367,ตัวเมืองฉะเชิงเทราในอดีตตั้งอยู่ที่ปากน้ำเจ้าโล้ มีหลักฐานการจารึกแผ่นเงินที่วัดพยัคอินทาราม ต.บ้านใหม่,
2377,ย้ายตัวเมืองฉะเชิงเทราไปตั้งที่บ้านท่าไข่ แขวงเมืองฉะเชิงเทรา ชิดกับลำน้ำบางปะกง ซึ่งเสมือนกำแพงธรรมชาติที่ป้องกันศัตรูได้อย่างดี นอกจากนี้ยังกลายเป็นศูนย์กลางอำนาจรัฐแห่งใหม่และเป็นเครื่องแสดงอาณาเขตของเมืองด้วย,4.png
2444,"ก่อตั้งอำเภอบางคล้า มีที่ว่าการอำเภอตั้งอยู่บริเวณปากคลองบางคล้า ตำบลบางสวน ตรงที่ตั้งวัดใหม่บางคล้าในปัจจุบัน เนื่องจากตรงจุดเดิมเป็นหมู่ที่เรียกว่า ""บ้านบางคล้า"" เมื่อมีการตั้งอำเภอจึงตั้งชื่อว่า ""อำเภอบางคล้า""",3.png
2448,ถือกำเนิดโรงเรียนประชาบาลแห่งแรก คือ โรงเรียนวัดใหม่บางคล้าในปัจจุบัน,6.png
2480,ยกฐานะเป็นเทศบาลตำบลบางคล้า โดยมีขุนแพทย์ไพบูลย์เป็นนายกเทศมนตรีคนแรก,
2491,ไฟไหม้ชุมชนบางคล้าครั้งที่ 1 ,
2500,น้ำท่วมครั้งใหญ่ ท่วมในตลาดสูงถึง 2 เมตร ,
2502,กำเนิดข้าวขาวดอกมะลิ 105 ,7.png
2536,จังหวัดฉะเชิงเทรา ปัจจุบันแบ่งการปกครองเป็น 11 อำเภอ 1 ในนั้นคืออำเภอบางคล้า ได้ชื่อมาจากต้นคล้า ลำต้นและใบคล้ายต้นข่า ผิวเปลือกคล้ายหวาย ใช้สานทำเสื่อและกระสอบ,แผนที่.png
2538,แม่น้ำบางประกง มีต้นกำเนิดมาจากแม่น้ำนครนายกและแม่น้ำปราจีนบุรีไหลมาบรรจบกันบริเวณอำเภอบ้านสร้าง จังหวัดปราจีนบุรี และอำเภอบางคล้า อำเภอบ้านโพธิ์ และอำเภอบางปะกง จังหวัดฉะเชิงเทรา และออกสู่ทะเลต่อไปสองฝั่งตลอดเส้นทางน้ำบางปะกง เกิดชุมชนที่ทำมาหากินหรือประกอบอาชีพแตกต่างกันไปตามสภาพพื้นที่ ตั้งแต่ การทำนา ทำไร่ ทำสวนและการประมง ,แม่น้ำบางปะกง.jpg
2539,"มีการพัฒนามากขึ้น โดยเฉพาะในส่วนของการเกษตร ทำให้ความต้องการน้ำจืดมีสูงขึ้น จึงมีการกำหนดแผนพัฒนาลุ่มน้ำบางปะกง โดยมีวัตถุประสงค์ในการกักเก็บปริมาณน้ำจืดและป้องกันน้ำเค็ม โดยรัฐบาลให้ความสำคัญกับในการพัฒนาเขื่อนบางปะกง และอ่างเก็บน้ำคลองสียัดเป็นอันดับต้น ๆ ของโครงการ ทำร่วมกับ องค์การความร่วมมือระหว่างประเทศแห่งญี่ปุ่น หรือ JICA
โครงการเขื่อนบางปะกง ได้รับการอนุมัติในหลักการและเริ่มก่อสร้าง",เขื่อน.jpeg
2561, พ.ร.บ. EEC อนุมัติให้ผังเมืองตามกฎหมายว่าด้วยการผังเมือง ในส่วนที่ใช้บังคับในเขตพัฒนาพิเศษภาคตะวันออก ใหเกรมโยธาธิการและผังเมืองดำเนินการจัดทำผังเมืองขึ้นใหม่ให้สอดคล้องกับแผนดังกล่าว,
2563,มีการวางและจัดทำผังเมืองรวมชุมชนบางคล้า ปรับปรุงครั้งที่ 2,อีอีซี.png
