year,details,image
2273,"ปรากฏชื่อ ""บางคล้า"" ในแผนที่โลก (indiasiam) ",แผนที่โลก.png,
2310,การกอบกู้เอกราชของพระเจ้าตากสินมหาราช ณ บริเวณปากน้ำโล้ปัจจุบัน คือ ตำบลปากน้ำ อำเภอบางคล้า จังหวัดฉะเชิงเทรา เป็นจุดที่พระยาวชิรปราการพักทัพ และสู้รบกับพม่าจนได้ชัยชนะทั้งๆ ที่กองทัพพม่ามีกองกำลังมากกว่า หลังจากรบกันที่ปากน้ำโจ้โล้แล้ว พม่าก็เลิกติดตามทัพไทย ปล่อยให้เดินทางต่อไปจนกระทั่งกู้อิสรภาพได้,พระเจ้าตาก.png,
2444,"ก่อตั้งอำเภอบางคล้า มีที่ว่าการอำเภอตั้งอยู่บริเวณปากคลองบางคล้า ตำบลบางสวน ตรงที่ตั้งวัดใหม่บางคล้าในปัจจุบัน เนื่องจากตรงจุดเดิมเป็นหมู่ที่เรียกว่า ""บ้านบางคล้า"" เมื่อมีการตั้งอำเภอจึงตั้งชื่อว่า ""อำเภอบางคล้า""บางคล้า มาจากชื่อพรรณไม้ชนิดหนึ่งที่เรียกว่า""ต้นคล้า"" ซึ่งเป็นไม้พุ่มขนานเล็ก ใบคล้ายใบกล้วย แต่มีขนาดเล็กกว่า พบขึ้นมากตามป่าดิบเขาริมธาร และที่ชุ่มชื้น  ปัจจุบันต้นคล้าในเขตบางคล้ามีเหลือน้อยมาก เท่าที่ยังเหลืออยู่เพราะชาวบ้านปลูกเอาไว้ใช้ประโยชน์ในการนำลำต้น มาเย็บจากเท่านั้น",บางคล้าในอดีต.png,
2480,"เทศบาลตำบลบางคล้า ได้รับการยกฐานะขึ้นเป็นเทศบาลเมื่อวันที่  14  มีนาคม  2480  ตามประกาศราชกิจจานุเบกษา  เล่มที่  54  ตอนที่  76  ลงวันที่  14  มีนาคม  2480  โดยมีขุนแพทย์ไพบูลย์เป็นนายกเทศมนตรีคนแรก เริ่มแรกอาศัยสถานที่ทำการของโรงต้มกลั่นสุรา  ซึ่งอยู่ไม่ห่างจากที่ว่าการอำเภอบางคล้า  เป็นสถานที่ทำการชั่วคราว 

ปัจจุบัน  ได้ย้ายมาก่อสร้างอาคารสำนักงานใหม่  เป็นอาคาร 3 ชั้น  ตั้งอยู่เลขที่  9  ถนนฤทธิ์ประศาสน์  ตำบลบางคล้า  อำเภอบางคล้า  จังหวัดฉะเชิงเทรา  โดยมีสัญลักษณ์ของเทศบาลเป็นรูป ""นกยูงรำแพน"" บางคล้า เป็นดินแดนที่มีความอุดมสมบูรณ์ไปด้วยนาไร่ และสวนผลไม้ชนิดต่าง ๆ เช่น สับปะรด มะพร้าว มะม่วง ฯลฯ",,
2502,กำเนิดข้าวขาวดอกมะลิ (ข้าวหอมมะลิ 105) กรมการข้าวกระทรวงเกษตรรื้ฟื้นการเก็บรวบรวมพันธุ์ข้าวเพื่อคัดเลือกหาพันธุ์ดี คุณสุนทร สีหะเนิน ได้เก็บข้าวส่งไปยังส่วนกลาง ผ่านการคัดเลือกพิจารณาให้ข้าวพันธุ์ดอกมะลิ ที่มาจากรวงที่ 105 เป็นข้าวพันธุ์ดีและให้ชื่อว่า ข้าวดอกมะลิ 4-2-105 เรียกสั้นๆ ว่า ข้าวดอกมะลิ 105,ข้าวขาว.jpg,
2521,ทางราชการเห็นว่า อำเภอบางคล้า มีพื้นที่กว้างไกลยากแก่การที่ประชาชนจะมาติดต่อทางราชการได้สะดวก จึงแบ่งพื้นที่ทางทิศใต้ของอำเภอออกไป 3 ตำบล ได้แก่ ตำบลหัวสำโรง ตำบลแปลงยาว และตำบลวังเย็น ตั้งเป็น กิ่งอำเภอแปลงยาว ทำให้อำเภอบางคล้าเหลือตำบลทั้งหมด  14 ตำบล,แผนที่กิ่งอำเภอแปลงยาว.png,
2536,มีประกาศกระทรวงมหาดไทยเรื่อง แบ่งเขตท้องที่อำเภอบางคล้า เป็น กิ่งอำเภอคลองเขื่อน โดยการรวม 5 ตำบลเข้าด้วยกัน ได้แก่ ตำบลก้อนแก้ว ตำบลคลองเขื่อน ตำบลบางเล่า ตำบลบางโรง และตำบลบางตลาด เนื่องด้วยอำเภอบางคล้ามีอาณาเขตกว้างและพลเมืองมาก ห่างไกลจากอำเภอ,แผนที่กิ่งอำเภอคลองเขื่อน.png,
2536,"จากประกาศกระทรวงมหาดไทยเรื่อง แบ่งเขตพื้นที่อำเภอบางคล้า จังหวัดฉะเชิงเทรา ตั้งเป็นกิ่งอำเภอคลองเขื่อนดังที่กล่าวมา อำเภอบางคล้าแบ่งพื้นที่การปกครองออกเป็น 9 ตำบล 56 หมู่บ้าน ได้แก่ บางคล้า, บางสวน, บางกระเจ็ด, ปากน้ำ, ท่าทองหลวง, สาวชะโงก, เสม็ดเหนือ, เสม็ดใต้ และหัวไทร 

ภูมิประเทศโดยรวมเป็นพื้นที่ราบ ด้านทิศตะวันตกของอำเภอติดกับแม่น้ำบางปะกง มีแม่น้ำสายเล็ก ๆ และคลองไหลผ่านตั้งแต่ตำบลบางกระเจ็ดที่อยู่เหนือสุดไหลลงมาสู่ตำบลสาวชะโงก จึงจัดเป็นพื้นที่มีน้ำอุดมสมบูรณ์ จากน้ำฝนและน้ำท่า",แผนที่อำเภอบางคล้าปัจจุบัน.png,
2561,"พ.ร.บ. เขตเศรษฐกิจพิเศษภาคตะวันออก หรือ พ.ร.บ. อีอีซี เป็นหนึ่งในนโยบายหลักของรัฐบาลคณะรักษาความสงบแห่งชาติ สมัยที่ 2 (คสช.2) สานต่อมาจากแผนเศรษฐกิจเดิมที่ดำเนินมาตั้งแต่ยุคแรกที่ คสช. อยู่ในอำนาจ โดยมี ‘สมคิด จาตุศรีพิทักษ์’ รองนายกรัฐมนตรีและอดีตสมาชิก คสช. เป็นผู้ผลักดันคนสำคัญ

เป้าหมายคือการพัฒนาพื้นที่ทางเศรษฐกิจใหม่ โดยอาศัยการพัฒนาระบบโครงสร้างพื้นฐาน การพัฒนาเมือง ดึงดูดนักลงทุนในพื้นที่พิเศษสามจังหวัดภาคตะวันออก ได้แก่ ชลบุรี ระยอง และฉะเชิงเทรา ",โครงการอีอีซี.png,
2562,"ผลการบังคับใช้ พ.ร.บ. อีอีซี นำมาสู่การกำหนดแผนผังการใช้ประโยชน์ที่ดินขึ้นใหม่ ส่งผลให้แผนผังการใช้ประโยชน์ที่ดินเดิมถูกยกเลิกไปทั้งหมด (มาตรา 32) มีการเปลี่ยนพื้นที่เกษตรกรรมเป็นพื้นที่อุตสาหกรรมเพิ่มมากขึ้น โดย ออกประกาศคณะกรรมการนโยบายเขตพัฒนาพิเศษภาคตะวันออก เรื่อง แผนผังการใช้ประโยชน์ในที่ดิน และแผนผังการพัฒนาโครงสร้างพื้นฐานและระบบสาธารณูปโภค เขตพัฒนาพิเศษภาคตะวันออก พ.ศ. 2562


แผนผัง EEC นั้นครอบคลุมพื้นที่ 3 จังหวัด รวม 30 อำเภอ โดยจังหวัดฉะเชิงเทรามีทั้งหมด 11 อำเภอ รวมถึงอำบางคล้า จากแผนที่ EEC กำหนดการใช้ที่ดิน 4 ประเภท ดังนี้ ที่ดินประเภทสก. (สีเขียวอ่อน) เป็นที่ดินประเภทส่งเสริมเกษตรกรรม/ ที่ดินประเภทม. (สีส้ม)  เป็นที่ดินประเภทชุมชนเมือง/ ที่ดินประเภทรม. (สีส้มจุดอ่อน) เป็นที่ดินประเภทรองรับการพัฒนาเมือง/ ที่ดินประเภทล. (สีเขียวมีเส้น)  เป็นที่ดินประเภทโล่งเพื่อสิ่งแวดล้อม/ ที่ดินประเภทอ. (สีม่วงอ่อน) เพื่ออุตสาหกรรม",อำเภอบางคล้าในพื้นที่อีอีซี.png,
2562,"ในแผนพัฒนาอีอีซี จังหวัดฉะเชิงเทรามีบทบาทเป็นศูนย์กลางด้านขนส่งและบริการ (transportation hub) ศูนย์กลางอุตสาหกรรม ตลาดกลางสินค้าเกษตรและศูนย์รวบรวมและกระจายสินค้าของกลุ่มเมืองภาคตะวันออก ขณะที่อำเภอบางคล้า มีบทบาทเป็นย่านที่อยู่อาศัยชั้นดี เพื่อรองรับนักลงทุนและแรงงานที่จะเข้ามาพักอาศัยในพื้นที่เขตเศรษฐกิจพิเศษภาคตะวันออก (EEC) ในอนาคต เป็นแหล่งเกษตรกรรม อาหารปลอดภัย แหล่งท่องเที่ยววิถีชีวิตชุมชนริมน้ำ มีประวัติศาสตร์ และทรัพยากรลุ่มน้ำบางปะกง

ซึ่งมีโครงการรถไฟความเร็วสูง เป็นโครงการพัฒนาโครงสร้างพื้นฐานขนาดใหญ่ที่ส่งผลต่อการพัฒนาพื้นที่บางคล้า ",โครงการขนาดใหญ่ที่ส่งผลต่อบางคล้า.png,
